ticket_id,title,category,priority,description,source,platform,user,date_reported,app_version,rating,status,created_date
TKT-BUG-710CB5C2,Bug: App crashes when I try to upload photos,Bug,Critical,App crashes when I try to upload photos. This has been happening since the last update. Please fix ASAP!,app_store,Google Play,JohnDoe123,2024-01-15,3.0.1,1,Open,2025-08-28 18:37:54
TKT-BUG-B51CF896,Bug: Can't login since update,Bug,High,Can't login since update. Keep getting error message 'Authentication failed'. My password is correct!,app_store,Google Play,FrustratedUser,2024-01-14,3.0.1,2,Open,2025-08-28 18:37:54
TKT-FEA-825E42FE,Feature: Would love to see dark mode added,Feature,Medium,Would love to see dark mode added. Otherwise great app for productivity!,app_store,App Store,TechEnthusiast,2024-01-14,2.1.3,4,Open,2025-08-28 18:37:54
TKT-BUG-B2407FCF,Bug: Data sync not working between devices,Bug,High,Data sync not working between devices. Lost important notes. Very disappointed.,app_store,Google Play,DataLossVictim,2024-01-13,3.0.1,1,Open,2025-08-28 18:37:54
TKT-FEA-102F2034,Feature: Please add widget support for iOS,Feature,Medium,Please add widget support for iOS. Would make the app much more useful.,app_store,App Store,FeatureRequester,2024-01-13,2.1.3,3,Open,2025-08-28 18:37:54
TKT-BUG-274F8994,Bug: App is too slow and crashes frequently,Bug,Critical,App is too slow and crashes frequently. Using Samsung S22.,app_store,Google Play,AndroidUser456,2024-01-12,3.0.1,1,Open,2025-08-28 18:37:54
TKT-FEA-C86406C9,Feature: Missing functionality for batch processing,Feature,Medium,Missing functionality for batch processing. Would be 5 stars if added.,app_store,Google Play,PowerUser2024,2024-01-10,2.1.3,4,Open,2025-08-28 18:37:54
TKT-FEA-217BBC49,Feature: App works but needs offline mode,Feature,Medium,App works but needs offline mode. Internet not always available.,app_store,Google Play,OfflineUser,2024-01-09,2.1.3,3,Open,2025-08-28 18:37:54
TKT-BUG-FD02451D,Bug: The recent update fixed all my issues,Bug,Medium,The recent update fixed all my issues. Thank you developers!,app_store,Google Play,GratefulUser,2024-01-08,3.0.1,5,Open,2025-08-28 18:37:54
TKT-FEA-2C85ACE3,Feature: Great app but please add CSV export feature for reports,Feature,Medium,Great app but please add CSV export feature for reports.,app_store,App Store,BusinessUser,2024-01-08,2.1.3,4,Open,2025-08-28 18:37:54
